#haḷagannaḍa pada sampada, a dictionary of Old Kannada. Data as scraped from Bharatavani.in

ಅ(ಬ್ಬಾ)ಬ್ಬೆ ,(ಅಂಬಾ) ತಾಯಿ
ಮಾಣಿಕಂಗಾಣ್ ,"ಮುಟ್ಟಾಗು, ರಜಸ್ವಲೆಯಾಗು"
ಮಾಣಿಕಚಟ್ಟ ,ರತ್ನಪರೀಕ್ಷಕ
ಮಾಣಿಕವರಿಗೆ ,ಕೆಂಪು ಹರಳು ಜೋಡಿಸಿರುವ ಗುರಾಣಿ
ಮಾಣಿಕೆಗೆಂಟು ,ರಜಸ್ವಲೆಯಾದ್ದರಿಂದ ದೂರವಿರಬೇಕಾದುದು
ಮಾಣಿಕ್ಯ ,ಪದ್ಮರಾಗ
ಮಾಣಿಸು ,ನಿಲ್ಲಿಸು; ಅಡಗಿಸು; ಸುಮ್ಮನಿರಿಸು
ಮಾಣ್ ,ಬಿಟ್ಟುಬಿಡು; ನಿಂತುಹೋಗು; ಸುಮ್ಮನಿರು; ಈಡೇರಿಸದಿರು; ತಪ್ಪಿಸಿಕೊ
ಮಾತಂಗ ,ಆನೆ; ಬೇಡರವನು; ಶ್ವಪಚ
ಮಾತಂಗಕುಲ ,ಆನೆಗಳ ಗುಂಪು
ಮಾತಂಗಚರಿತ ,ಆನೆಯ ಗಾಂಭೀರ್ಯದವನು; ಚಂಡಾಲನ ಗುಣದವನು
ಮಾತಂಗಿ ,ಚಂಡಾಲರವಳು; ಬೇಡಿತಿ; (ಜೈನ) ಹತ್ತು ಮಹಾವಿದ್ಯೆಗಳಲ್ಲಿ ಒಂದು
ಮಾತಟ್ಟು ,ಸುದ್ದಿಯನ್ನು ಹೇಳಿ ಕಳಿಸು
ಮಾತಡಕು ,ಸಂದೇಶ ತಲುಪಿಸು
ಮಾಂತನ ,ಹಿರಿತನ
ಮಾತರಿಶ್ವ ,ಗಾಳಿ
ಮಾತಱಿವಂ ,ಚೆನ್ನಾದ ಮಾತು ಬಲ್ಲವನು
ಮಾತಾಮಹ ,ತಾಯಿಯ ತಂದೆ
ಮಾತಾಳಿ ,(ಮಾತಲಿ) ಇಂದ್ರನ ಸಾರಥಿ ಹರಟೆಕೋರ
ಮಾತು ,ನುಡಿ; ಹೇಳಿಕೆ; ವಿಷಯ
ಮಾತುಂಗುಟ್ಟು ,"ಮಾತಾಡು, ಸಂಭಾಷಿಸು"
ಮಾತುಗೆಡು ,ನುಡಿಯಿಲ್ಲದಾಗು
ಮಾತುಗೇಳ್ ,"ಒಡಂಬಡು, ಒಪ್ಪು"
ಮಾತುದೆಗೆ ,ಸಂಭಾಷಣೆಗೆ ತೊಡಗು
ಮಾತುಲ(ಳ) ,ಸೋದರ ಮಾವ
ಮಾತುಲು(ಳು)ಂಗ ,ಮಾದಲ ಹಣ್ಣು
ಮಾತುವಲ್ಲಹ ,"ಮಾತಿನ ದೇವತೆಯಾದ ಸರಸ್ವತಿಯ ಗಂಡ, ಬ್ರಹ್ಮ"
ಮಾತ್ರಾಭಾಂಡ ,ಹಣ ಅಥವಾ ಒಡವೆಗಳನ್ನಿಡುವ ಚೀಲ ಅಥವಾ ಪೆಟ್ಟಿಗೆ
ಮಾತ್ಸ್ಯನ್ಯಾಯ ,"ಮತ್ಸ್ಯನ್ಯಾಯ, ಬಲಿಷ್ಠ ದುರ್ಬಲನ್ನು ಪೀಡಿಸುವುದು"
ಮಾದರ ,ಮಾದಿಗ
ಮಾಂದಳಿರ್ ,ಮಾಂಗೊನರ್
ಮಾದಿಂಗಿತ್ತಿ ,ಮಾದಿಗ ಹೆಂಗಸು
ಮಾಂದಿಸು ,ಅಡ್ಡಗಟ್ಟು
ಮಾಂದು ,ಪ್ರತಿಭಟನೆ ಮಾಡು; ಹಿಮ್ಮೆಟ್ಟು
ಮಾದುಪಳ ,ಮಾದಲ ಹಣ್ಣು
ಮಾದುಫಲ(ಳ) ,ಮಾದುಪಳ
ಮಾದುರ ,(ಮಹಾಧುರ) ದೊಡ್ಡ ಯುದ್ಧ
ಮಾದೆ(ಂ)(ದಿ)ಗ ,ಒಂದು ಪರಿಶಿಷ್ಟ ಜಾತಿ
ಮಾದೆ(ಂ)ಗಿ ,ಮಾದಿಗ ಹೆಂಗಸು
ಮಾದೇವ ,(ಮಹಾದೇವ) ಈಶ್ವರ
ಮಾದೇವಿ ,(ಮಹಾದೇವಿ) ಪಾರ್ವತಿ; ಪಟ್ಟಮಹಿಷಿ
ಮಾಂದ್ಯ ,ಮೆಲ್ಲನೆ; ಜಾಡ್ಯ
ಮಾದ್ಯತ್ ,ಮದಿಸಿದ
ಮಾದ್ಯದ್ಗಜ ,ಮದ್ದಾನೆ
ಮಾಧವ ,"ಮಧುಮಾಸ, ವಸಂತ"
ಮಾಧವೀ ,"ವಾಸಂತಿ, ಮೊಲ್ಲೆ, ಇರುವಂತಿಗೆ"
ಮಾಧ್ಯಮಿಕ ,ಶೂನ್ಯವಾದ; ಬೌದ್ಧಮತದ ಒಂದು ಪಂಗಡ
ಮಾಧ್ಯಸ್ಥವೃತ್ತಿ ,(ಜೈನ) ದುಷ್ಟರ ಬಗ್ಗೆ ವ್ರತಸ್ಥರು ಇರಿಸಿಕೊಳ್ಳಬೇಕಾದ ತಟಸ್ಥ ಭಾವನೆ
ಮಾನ ,ಆತ್ಮಗೌರವ; ಅಳತೆಯ ಪ್ರಮಾಣ; ಸ್ತ್ರೀಯ ಪ್ರಣಯಕೋಪ
ಮಾನ(ನಿ)ಸವಾೞ್ ,ಮನುಷ್ಯ ಜೀವನ
ಮಾನಕಷಾಯ ,"(ಜೈನ) ನಾಲ್ಕು ಮಾನಸಿಕ ದೋಷಗಳಲ್ಲಿ ಒಂದು, ನೋಡಿ, `ಕಷಾಯ’"
ಮಾನಗರ್ವ ,ಅಹಂಕಾರ
ಮಾನಗೆ ,(ಮಾನಕ) ಅಳತೆಯ ಸಾಧನ
ಮಾನತೆ ,ದುಃಖ
ಮಾನಂದನ ,"ಲಕ್ಷ್ಮಿಯ ಮಗ, ಮನ್ಮಥ"
ಮಾನದಿ ,(ಮಹಾನದಿ) ದೊಡ್ಡ ನದಿ
ಮಾನಧನ ,"ಸ್ವಾಭಿಮಾನವನ್ನೇ ಧನವೆಂದು ಪರಿಗಣಿಸುವವನು, ದುರ್ಯೋಧನ"
ಮಾನಧರ ,ಗೌರವಸ್ಥ
ಮಾನನಿಧಾನೆ ,ಮರ್ಯಾದೆಯನ್ನೇ ಧನವೆಂದು ಪರಿಗಣಿಸುವವಳು
ಮಾನನಿಧಿ ,ಮಾನಧನ
ಮಾನನೀಯ ,ಗೌರವಾರ್ಹ
ಮಾನಭಂಗ ,ಅವಮಾನ
ಮಾನವಮಿ ,ಮಹಾನವಮಿ
ಮಾನವಲೋಕ ,ಭೂಲೋಕ
ಮಾನವಾಹಿತ ,ಮರ್ಯಾದೆವಂತ
ಮಾನಸ ,ಮಾನಸ ಸರೋವರ; ಮನಸ್ಸು; ಮನುಷ್ಯ
ಮಾನಸಗೋಲ ,ಕುಸ್ತಿಯ ಒಂದು ವರಸೆ
ಮಾನಸವೇಗ ,ಮನಸ್ಸಿನ ವೇಗ
ಮಾನಸಸಂಭವ ,ಮನಸ್ಸಿನಲ್ಲಿ ಹುಟ್ಟಿದವನು; ಮಾನಸ ಸರೋವರದಲ್ಲಿ ಜನಿಸಿದವನು
ಮಾನಸಿ(ಸೆ) ,ಮಾನವ ಹೆಂಗಸು
ಮಾನಸಿಕೆ(ಕ್ಕೆ) ,ಮಾನವತ್ವ; ಸ್ವಾಭಿಮಾನ
ಮಾನಸೂತ್ರ ,ಅಳತೆಯ ದಾರ
ಮಾನಸೌಕಸ ,ಮಾನಸ ಸರೋವರದ ಹಂಸ
ಮಾನಸ್ತಂಭ ,(ಜೈನ) ಬಸದಿಯ ಮುಂದಿನ ಕಂಬ; ಸಮವಸರಣಮಂಟಪದ ನಡುವಣ ಕಂಬ
ಮಾನಾಮಿ ,ಮಾನವಮಿ
ಮಾನಿತ ,ಗೌರವನೀಯ
ಮಾನಿನಿ ,ಸ್ವಾಭಿಮಾನಿ ಹೆಣ್ಣು
ಮಾನುಷಸಿದ್ಧಿ ,ಮಾನವಯತ್ನದಿಂದ ಪಡೆದುದು
ಮಾನುಷೋತ್ತರಗಿರಿ ,(ಜೈನ) ಮಧ್ಯಮಲೋಕದ ಒಂದು ಪರ್ವತ
ಮಾನುಸ ,ಮಾನವ
ಮಾನೋನ್ನತ ,ಉನ್ನತವಾದ ಗೌರವ ಪಡೆದವನು
ಮಾನೋನ್ನತಿ ,ಹಿರಿದಾದ ಗೌರವ
ಮಾನೋಮಿ ,ಮಹಾನವಮಿ
ಮಾನ್ಯ ,ಗೌರವಾರ್ಹ
ಮಾಮ ,ಮಾವ
ಮಾಮರ ,ಮಾವಿನ ಮರ
ಮಾಮಸಕ ,ಸಡಗರ; ಅತಿ ರೋಷ
ಮಾಮಸಕಂ ಮಸಗು ,ಕೋಪದಿಂದ ಕೆರಳು
ಮಾಮಸಕಂಗೊಳ್ ,ಕೋದಿಂದ ಕೆರಳು
ಮಾಮಿಡಿ ,"ಮಾವಿನ ಮಿಡಿ, ಕಸುಗಾಯಿ"
ಮಾಯವಾಗು ,ಅದೃಶ್ಯವಾಗು
ಮಾಯಾನಿದ್ರೆ ,ಮಂತ್ರಹಾಕಿ ಬರಿಸುವ ನಿದ್ದೆ
ಮಾಯಾಮಾರ್ಗ ,ಮಿಥ್ಯೆಯ ದಾರಿ
ಮಾಯಾಯುದ್ಧ ,ಇಂದ್ರಜಾಲದಿಂದ ಕೂಡಿದ ಯುದ್ಧ
ಮಾಯಾರ್ಭಕ ,(ಜೈನ) ಜಿನಶಿಶು ಹುಟ್ಟಿದಾಗ ಅದಕ್ಕೆ ಜನ್ಮಾಭಿಷೇಕವನ್ನು ನೆರವೇರಿಸಲು ನಿಜವಾದ ಮಗುವನ್ನು ತೆಗೆದುಕೊಂಡು ಇಂದ್ರಾಣಿಯು ಜಿನಮಾತೆಯ ಬಳಿ ಇಡುವ ಕೃತಕ ಮಗು
ಮಾಯಾವಿ ,ಮೋಸಗಾರ
ಮಾಯಾಶಲ್ಯ ,(ಜೈನ) ವ್ತರಸ್ಥನಿಗೆ ಬರುವ ಮೂರು ಬಗೆಯ ಅಡ್ಡಿಗಳಲ್ಲಿ ಒಂದು
ಮಾಯಾಶಿಶು ,ಮಾಯಾರ್ಭಕ
ಮಾಯೆ ,ಇಂದ್ರಜಾಲ; ಕಪಟ
ಮಾಯ್ ,ಕ್ಷೀಣಿಸು; ಮರೆಯಾಗು; ದುಷ್ಟತೆಯಿಂದ ಕೂಡಿರು; ನಿವಾರಣೆಗೊಳ್ಳು
ಮಾಯ್ದ ,ನೀಚ
ಮಾರ ,ಕಾಮ
ಮಾರಣ ,ಕೊಲೆ; ಅಳಿವು
ಮಾರಣಮಂತ್ರ ,ಶತ್ರುವಿನ ವಿನಾಶಕ್ಕಾಗಿ ಪ್ರಯೋಗಿಸುವ ಮಂತ್ರ
ಮಾರಣಹೋಮ ,ಶತ್ರುವಿನ ವಿನಾಶಕ್ಕಾಗಿ ಮಾಡುವ ಯಜ್ಞ
ಮಾರಿ ,ಮೃತ್ಯುದೇವತೆ; ಆಪತ್ತು; ಕ್ಷುದ್ರ ದೇವತೆ
ಮಾರಿಕಬ್ಬೆ ,ಮಾರಿ ಎಂಬ ದೇವತೆ
ಮಾರಿಗುತ್ತ ,ಭಯಂಕರ ರೋಗ
ಮಾರಿಗೆ ,ಮಾರಿದೇವತೆ
ಮಾರಿಯ ಮೂರಿ ,ಮಾರಿಯ ಮೃತ್ಯುರೂಪದ ಬಾಯಿ
ಮಾರೀಚ ,ಕಶ್ಯಪ ಋಷಿ; ಒಬ್ಬ ರಾಕ್ಷಸ
ಮಾರುಡ(ಡು) ,ಬಿಲ್ವಪತ್ರೆ
ಮಾರುತ ,ಗಾಳಿ; ವಾಯು ದೇವತೆ
ಮಾರುತಪಥ ,ಆಕಾಶ
ಮಾರುತಬಂಧು ,"ಗಾಳಿಯ ಗೆಳೆಯ, ಬೆಂಕಿ, ಅಗ್ನಿ"
ಮಾರುತಭುಕ್ ,"ಗಾಳಿಯನ್ನೇ ಆಹಾರವಾಗಿ ಸೇವಿಸುವುದು, ಹಾವು"
ಮಾರುತಮಂಡಲ(ಳ) ,ವಾಯುಮಂಡಲ
ಮಾರುತಮಾರ್ಗ ,ಮಾರುತಪಥ
ಮಾರುತಸುತ ,"ವಾಯುವಿನ ಮಗ, ಹನುಮಂತ; ಭೀಮ"
ಮಾರುತಿ ,ಮಾರುತಸುತ
ಮಾರುದಿನ , (ಅರ್ಥಸಂದಿಗ್ಧತೆಯ ಶಬ್ದ)
ಮಾರ್ಕಂಡಿ ,ಕಾಡುಮೃಗಗಳ ಜಾಡು
ಮಾರ್ಕಾಡು ,ಕಾಡುಮೃಗಗಳ ಆಶ್ರಯದ ಕಾಡು
ಮಾರ್ಕಿಡಿವಿಡು ,ಪ್ರತಿಯಾಗಿ ಕಿಡಿಸೂಸು
ಮಾರ್ಕೊಳ್ ,ಎದುರಿಸು; ಆಕ್ಷೇಪಿಸು; ಪ್ರತಿ ನುಡಿ
ಮಾರ್ಗ ,ದಾರಿ; ಭಾಷೆಯನ್ನು ಬಳಸುವ ವಿವಿಧ ಶೈಲಿ; ಸಂಪ್ರದಾಯಬದ್ಧ ಕಾವ್ಯ; ಅಭಿಜಾತ ಕಾವ್ಯ
ಮಾರ್ಗಗ ,ದಾರಿಹೋಕ
ಮಾರ್ಗಜಱು ,"ಮಾರ್+ಗಜಱು, ಪ್ರತಿಯಾಗಿ ಗದರು"
ಮಾರ್ಗಣ ,"ಬಾಣ, ಅಸ್ತ್ರ; (ಜೈನ) ಜೀವಿಗಳು ಹಾದುಹೋಗಬೇಕಾದ ಮಾರ್ಗ"
ಮಾರ್ಗಣಾನುರಕ್ತ ,ಧನುರ್ವಿದ್ಯಾಸಕ್ತ
ಮಾರ್ಗಂದಪ್ಪು ,ಹಾದಿ ತಪ್ಪು
ಮಾರ್ಗಪ್ರಭಾವನೆ ,(ಜೈನ) ಜಿನಧರ್ಮವನ್ನು ಹೊಳಪುಗೊಳಿಸುವುದು
ಮಾರ್ಗವಿದ ,ಸಂಪ್ರದಾಯವನ್ನು ತಿಳಿದವನು
ಮಾರ್ಗಶಿರ ,"ಮಾರ್ಗಶೀರ್ಷ, ಚಾಂದ್ರಮಾನದ ಹನ್ನೆರಡನೆಯ ತಿಂಗಳು"
ಮಾರ್ಗಶ್ರಮ ,ಪ್ರಯಾಣದ ದಣಿವು
ಮಾರ್ಜಡಿ ,"ಮಾರ್+ಜಡಿ, ಪ್ರತಿಯಾಗಿ ಹೊಡಿ"
ಮಾರ್ಜಾರ(ಲ) ,ಬೆಕ್ಕು
ಮಾರ್ತಂಡ ,ಸೂರ್ಯ
ಮಾರ್ತಲೆ ,ಎದುರಾಳಿ; ಪ್ರತಿಪಕ್ಷ
ಮಾರ್ತಾಗು ,"ಮಾರ್+ತಾಗು, ಎದುರಿಸು"
ಮಾರ್ತೊಳಗು ,ಪ್ರತಿಯಾಗಿ ಹೊಳೆ
ಮಾರ್ದನಿ ,ಪ್ರತಿಧ್ವನಿ
ಮಾರ್ದನಿಯಿ(ವಿ)ಡು ,ಪ್ರತಿಧ್ವನಿಸು
ಮಾರ್ದವ ,"ಮೃದುಸ್ವಭಾವ; (ಜೈನ) ಸನ್ಯಾಸಿ ಅನುಸರಿಸಬೇಕಾದ ಕ್ರಮಗಳಲ್ಲಿ ಒಂದು, ನೋಟಿ `ದಶಕುಲಧರ್ಮ’"
ಮಾರ್ನುಡಿ ,ಉತ್ತರ ನೀಡು; ಪ್ರತ್ಯುತ್ತರ
ಮಾರ್ಪಡಿ ,ಸರಿಸಮಾನ
ಮಾರ್ಪಡೆ ,ಶತ್ರುಸೈನ್ಯ
ಮಾರ್ಪೊಡೆ ,ಪ್ರತಿಯಾಗಿ ಹೊಡೆ
ಮಾರ್ಪೊಣರ್ ,ಎದುರಾಗಿ ಕಾದು
ಮಾರ್ಪೊಯ್ ,ಮಾರ್ಪೊಡೆ
ಮಾರ್ಪೊಳಪು ,ಪ್ರತಿಬಿಂಬ
ಮಾರ್ಪೊಳೆ ,ಪ್ರತಿಬಿಂಬಿಸು
ಮಾರ್ಬಟ್ಟೆ ,ಬೇರೆ ದಾರಿ
ಮಾರ್ಮ ,"ಪ್ರತಿಭಟಿಸುವವನು, ಮಲೆವವನು"
ಮಾರ್ಮನುಷ್ಯ ,ಬೇರೆಯೇ ವ್ಯಕ್ತಿ
ಮಾರ್ಮಲೆ ,ಉದ್ಧಟತನಾಗಿ ವರ್ತಿಸು; ವಿರೋಧಿಸು
ಮಾರ್ಮುಗಿಲ್ ,ಪ್ರತಿ ಮೋಡ
ಮಾರ್ವ(ರ್ಬ)ಟ್ಟೆ ,ದಾರಿಗೆ ಎದುರು
ಮಾರ್ವಲ ,ಶತ್ರು ಸೈನ್ಯ; ಮಹಾ ಸೈನ್ಯ
ಮಾಱಂಕ ,ಮತ್ತೊಂದು ಯುದ್ಧ; ಎದುರು ಕಾಳಗ; ಪ್ರತಿಸ್ಪರ್ಧೆ
ಮಾಱಣಿ ,ಶತ್ರು ಸೈನ್ಯ
ಮಾಱಂಬು ,ಗುರಿಯಿಟ್ಟು ಬಿಟ್ಟ ಬಾಣ
ಮಾಱಿಗೆ ,ಮಾರಾಟಕ್ಕಿರುವ ಸರಕು
ಮಾಱಿಸು ,ಗುರಿಯಿಟ್ಟು ಬಾಣ ಬಿಡು
ಮಾಱು ,ವಿಕ್ರಯಿಸು; ಸ್ವಾಧೀನಪಡಿಸಿಕೋ
ಮಾಱುಗೊಡು ,ವಿನಿಮಯ ಮಾಡಿಕೊ; ಒಪ್ಪಿಸು
ಮಾಱುಲಿ ,ಪ್ರತಿಧ್ವನಿಸು
ಮಾಱುವಡೆ ,ಮಾರಾಟಗೊಳ್ಳು
ಮಾಱುವೋಗು ,ಮಾರಾಟಗೊಳ್ಳು; ಮೋಹಗೊಳ್ಳು
ಮಾಱೊಡ್ಡು ,ಶತ್ರು ಸೈನ್ಯ
ಮಾಱೋಲೆ ,ಪ್ರತಿಯಾಗಿ ಬರೆದ ಓಲೆ
ಮಾಲಾಕಾರ ,ಮಾಲೆಗಾರ
ಮಾಲಾಮಂತ್ರ ,ದುರ್ಮಂತ್ರ
ಮಾಲಿನ್ಯ ,ಕೊಳೆ
ಮಾಲಿಸು ,ಕಡೆಗಣ್ಣಿನಿಂದ ನೋಡು
ಮಾಲೂರ ,ಬಿಲ್ವಪತ್ರೆ; ಬೇಲ
ಮಾಲೆ ,ಹೂವಿನ ಹಾರ; ಸರ
ಮಾಲೆಗಟ್ಟು ,ಸಾಲಾಗಿ ನಿಲ್ಲು
ಮಾಲೆಗಾರ್ತಿ ,ಹೂವಾಡಗಿತ್ತಿ
ಮಾಲೆಗಾಱ ,ಹೂವಾಡಿಗ
ಮಾಲೆಗಾಱಗೇರಿ ,ಹೂವಾಡಿಗರ ಬೀದಿ
ಮಾಲೆಗುಂಡಿಗೆ ,ಜೋಡಿಸಿದ ಗಡಿಗೆಗಳು
ಮಾಲೆಗೊಳ್ ,ಒಂದರ ಹಿಂದೊಂದು ಬಾ
ಮಾಲೆಜೊಡರ್ ,ಸಾಲುದೀಪ
ಮಾಲೆದುಂಬಿ ,ದುಂಬಿಯ ಸಾಲು
ಮಾಲೆದೊಡರ್ ,ಹೂವಿನ ಒಡವೆ
ಮಾಲೆವೂ ,ಹೂವಿನ ಹಾರ
ಮಾಲೆಸೂ(ವೂ)ಡು ,ಹಾರವನ್ನು ಹಾಕು
ಮಾಲ್ಯ ,"ಹಾರ; (ಜೈನ) ಕಲ್ಪವೃಕ್ಷಗಳಲ್ಲಿ ಒಂದು, ನೋಡಿ, `ದಶಕಲ್ಪಕುಜ’"
ಮಾಲ್ಯಮಹೀಜ ,ಮಾಲ್ಯ
ಮಾಲ್ಯಾಂಗ ,ಮಾಲ್ಯ
ಮಾವ(ಂ)ತಿಗ ,ಮಾವಂತ
ಮಾವಣ್ ,ಮಾವಿನ ಹಣ್ಣು
ಮಾವಂತ ,ಮಾವುತ
ಮಾವುಲಿ(ರಿ)ಗ ,ಬೇಟೆಗಾರ
ಮಾಷ ,ಉದ್ದು
ಮಾಷಮುಖ ,ನೊಣ
ಮಾಷೀಣ ,ಉದ್ದು ಬಿತ್ತಿರುವ ಹೊಲ
ಮಾಷ್ಯ ,ಮಾಷೀಣ
ಮಾಷ್ಯಪ್ರಾಂಗಣ ,ಮಾಷೀಣ
ಮಾಂಸಕವಳ ,ಬಾಡಿನ ಊಟ
ಮಾಸದಿಕೆ ,ಮಾಸದಿರುವಿಕೆ
ಮಾಸರ ,ಅಂದ(ವಾದುದು); ಮಹಾಸ್ವರ
ಮಾಸರಂ ,ಅಂದವಾಗಿ
ಮಾಸರಂ , (ಅರ್ಥಸಂದಿಗ್ಧತೆಯ ಶಬ್ದ)
ಮಾಸರಿಕೆ ,ಚೆಲುವು
ಮಾಸವಳ ,ಈಟಿ
ಮಾಂಸಳ ,ಪುಷ್ಟವಾದ
ಮಾಂಸಳಿತ ,ಮಾಂಸಳ
ಮಾಸಾದಿ ,(ಮಹಾಸಾದಿನ್) ರಾವುತ
ಮಾಸಿರಿವಂತ ,ದೊಡ್ಡ ಶ್ರೀಮಂತ
ಮಾಸಿಸು ,ಕಾಂತಿ ಕುಂದುವಂತೆ ಮಾಡು
ಮಾಸು ,ಕೊಳೆಯಾಗು; ಕೊಳೆ
ಮಾಸೋಪವಾಸ ,ಒಂದು ತಿಂಗಳ ಕಾಲ ಮಾಡುವ ಉಪವಾಸ ವ್ರತ
ಮಾಹತ್ತರ ,ಮುಖಂಡ
ಮಾಹಾತ್ಮ್ಯ ,ಹಿರಿಮೆ
ಮಾಹೇಂದ್ರಕಲ್ಪ ,(ಜೈನ) ಹದಿನಾರು ಕಲ್ಪಗಳಲ್ಲಿ ನಾಲ್ಕನೆಯದು
ಮಾಳ ,ಬಯಲು
ಮಾಳಂಗೊಳ್ ,ದಿಕ್ಕಾಪಾಲಾಗಿ ಓಡು
ಮಾಳಜಿಗೆ ,ಒಂದು ಆಯುಧ
ಮಾಳಜಿಗೆ , (ಅರ್ಥಸಂದಿಗ್ಧತೆಯ ಶಬ್ದ)
ಮಾಳಬೆ ,ಮಾರಿ
ಮಾಳಿಗೆ ,ಉಪ್ಪರಿಗೆ ಮನೆ
ಮಾಳ್ಮುಕಿ ,ಗಂಡನನ್ನು ಬಿಡದವಳು
ಮಾೞ ,ಮಾಳವ ದೇಶ
ಮಾೞ್ಕೆ ,ರೀತಿ
ಮಿಗ ,ಕಾಡುಮೃಗ; ಜಿಂಕೆ
ಮಿಗದೇರ ,ವಾಯು
ಮಿಗಬೇರ ,(ಮೃಗವೈರ) ಹುಲಿ; ವ್ಯಾಘ್ರಾಸುರ
ಮಿಗವಕ್ಕೆಗ ,ಚಂದ್ರ
ಮಿಗವಗೆ ,"ಜಿಂಕೆಯ ವೈರಿ, ಹುಲಿ"
ಮಿಗವಱಿ ,ಜಿಂಕೆಯ ಮರಿ
ಮಿಗಿಲ್ ,ಅತಿಶಯ; ಶ್ರೇಷ್ಠ
ಮಿಗು ,"ಹೆಚ್ಚಾಗು, ಅಧಿಕವಾಗು"
ಮಿಗೆ ,ಅಧಿಕವಾಗಿ
ಮಿಗೆವರ್ ,ಅತಿಶಯವಾಗು
ಮಿಂಚು ,ಪ್ರಕಾಶಿಸು; ಕಾಂತಿ; ಆಕಾಶದ ತಟಿತ್
ಮಿಂಚುಂಬುೞು ,ಮಿಣುಕು ಹುಳು
ಮಿಂಚುವಡೆ ,ಹೊಳಪನ್ನು ಹೊಂದು
ಮಿಂಚುವೋಗು ,ಹೊಳೆದು ಕಣ್ಮರೆಯಾಗು
ಮಿಟ್ಟೆ ,"ಮಣ್ಣಿನ ಹೆಂಟೆ; ಗುಂಡು, ಗೋಲಿ"
ಮಿಟ್ಟೆಗೊಂಡ ಚಿಟ್ಟೆ ,ಮಣ್ಣಿನ ಹೊಡೆತಕ್ಕೆ ಸಿಕ್ಕಿದ ಮಿಡತೆ
ಮಿಂಡ ,ಪರಾಕ್ರಮಿ; ಉಪಪvತಿ
ಮಿಂಡಮಕ್ಕಳ್ ,ಶೂರ ತರುಣರು
ಮಿಂಡಾಡು ,ಹಾದರ ಮಾಡು
ಮಿಂಡಿ ,ನವಯುವತಿ; ಉಪಪತ್ನಿ
ಮಿಡಿ ,"ಬೆರಳಿನಿಂದ ಹೊಡೆ, ಮೀಟು; ಹೀಚು"
ಮಿಡಿವಟ್ಟು ,ಕವಣೆ ಕಲ್ಲು
ಮಿಡಿವಿಲ್ ,"ಮಿಡಿಯುವ ಬಿಲ್ಲು, ಕವಣೆ"
ಮಿಂಡು ,ಕಲಿತನ; ಪುಂಡತನ
ಮಿಡು(ಂ)ಕು ,ವ್ಯಥೆಪಡು; ಮಿಸುಕಾಡು; ಧಾವಿಸು; ಚೇತರಿಸಿಕೊ
ಮಿಡುಕಾಡು ,ಕಂಪಿಸು
ಮಿಡುಕಿಸು ,ತಳಮಳಗೊಳ್ಳು
ಮಿಡುಮಿಡುಕು ,ತುಂಬ ಚಡಪಡಿಸು
ಮಿಂಡುವಡೆ ,"ಮಿಂಡು+ಪಡೆ, ತುಂಟರ ಗುಂಪು"
ಮಿತವಚನ ,ಮಿತವಾಗಿ ಮಾತಾಡುವವನು
ಮಿತವಾಕ್ಯ ,ಮಿತವಚನ
ಮಿತ್ರ ,ಸೂರ್ಯ; ಗೆಳೆಯ; ರಾಜನ `ಸಪ್ತಾಂಗ’ಗಳಲ್ಲಿ ಒಂದು
ಮಿತ್ರಕಾರ್ಯ ,ರಾಜನು ಮಿಕ್ಕ ರಾಜರನ್ನು ಗೆಳೆಯರನ್ನಾಗಿಸಿಕೊಳ್ಳುವ ತಂತ್ರ
ಮಿತ್ರಗುಣ ,ಗೆಳೆಯನಲ್ಲಿರಬೇಕಾದ ಗುಣ
ಮಿತ್ರದ್ರೋಹ ,ಗೆಳೆಯನಿಗೆ ಮಾಡುವ ಮೋಸ
ಮಿತ್ರದ್ವಿಷ ,"ಸೂರ್ಯನ ಶತ್ರು, ರಾಹು"
ಮಿತ್ರಬಲ ,ಸ್ನೇಹಿತರಾದ ರಾಜರ ಬಲ
ಮಿತ್ರಭಾವ ,ಗೆಳೆತನ
ಮಿತ್ರಮಂಡಲ(ಳ) ,ಸೂರ್ಯಮಂಡಲ; ಸ್ನೇಹಿತರ ಗುಂಪು
ಮಿತ್ರಲಕ್ಷಣ ,ಸ್ನೇಹಿತನಲ್ಲಿರಬೇಕಾದ ಗುಣ
ಮಿತ್ರವಿಯೋಗ ,ಸೂರ್ಯನ ಅಗಲಿಕೆ; ಗೆಳೆಯನ ವಿಯೋಗ
ಮಿಥಸ್ಸ್ಪರ್ಧೆ ,ಪರಸ್ಪರ ಪೈಪೋಟಿ
ಮಿಥುನ ,ಗಂಡು ಹೆಣ್ಣು ಜೋಡಿ
ಮಿಥ್ಯಾಕಂದರ ,ಸುಳ್ಳು ಎಂಬ ಗುಹೆ
ಮಿಥ್ಯಾಚತುಷ್ಟಯ ,"ಇದು ಸುಳ್ಳು, ಇದರ ಪರಿಚಯ ಇಲ್ಲ, ಆಗ ಅಲ್ಲಿ ನಾನಿರಲಿಲ್ಲ, ಆ ಕಾಲಕ್ಕೆ ನನು ಹುಟ್ಟಿರಲಿಲ್ಲ ಎಂಬ ನಾಲ್ಕು ಬಗೆಯ ಸುಳ್ಳುಗಳು"
ಮಿಥ್ಯಾಚರಣ ,ಕಪಟಾಚರಣೆ
