#jānapada vastukośa, a dictionary of objects used in rural Karnataka. Data as scraped from Bharatavani.in

ಅಲ್ಲಿಪಿಲ್ಲಿಗಿಂಡಿ/ಅಲ್ಲೆಪಿಲ್ಲೆಗಿಂಡಿ,"ದೀಪಾವಳಿ ಕಳೆದು ಶುಕ್ಲಪಕ್ಷದ ಐದನೆಯ ದಿನ ಊರ ಹೆಣ್ಣುಮಕ್ಕಳು ಸೇರಿ ಆಚರಿಸುವ ಅಲ್ಲೆಪಿಲ್ಲೆ ಆಚರಣೆಗೆ ಬಳಸುವ ಒಂದು ಸಣ್ಣಗಿಂಡಿ. ಸಣ್ಣಹೆಣ್ಣುಮಕ್ಕಳ ಅಂಗೈಯಲ್ಲಿ ಅಡಗುವಷ್ಟೇ ಇದೆ. ಇಂಥ ಪುಟ್ಟ ಗಿಂಡಿಗಳನ್ನು ಹಿಡಿದುಕೊಂಡು ಅವಿವಾಹಿತ ಕನ್ಯೆಯರು ಊರಬಾವಿ/ನದಿಗೆ ಹೋಗಿ, ನೀರನ್ನು ಗಿಂಡಿಯಲ್ಲಿ ತುಂಬಿ ಪೂಜಿಸಿ ಅಲ್ಲೆಪಿಲ್ಲೆ ಹಾಡುಗಳನ್ನು ಹಾಡುತ್ತ ಮರಳಿ ಮನೆಗೆ ಬಂದು, ಗಿಂಡಿಯನ್ನು ಇಟ್ಟು ಮುಂದಿನ ಐದುದಿನಗಳಲ್ಲೂ ಪೂಜಿಸುತ್ತಾರೆ. ಆಗಲೂ ಹಾಡುಗಳನ್ನು ಹಾಡುವ ಸಂಪ್ರದಾಯ ಇರುತ್ತದೆ. ಈ ಆಚರಣೆಯಲ್ಲಿ ಕೋಲಾಟವೂ ತುಂಬ ಮುಖ್ಯವಾದ ಒಂದು ಅಂಗವಾಗಿರುತ್ತದೆ. ಕೊನೆಯ ದಿನ ಈ ಗಿಂಡಿಯ ನೀರನ್ನು ಗ್ರಾಮದ ಒಂದು ಮನೆಯ ಮಾಳಿಗೆಯ ಮೇಲೆ ಒಯ್ದು ಮನೆಗೆಲ್ಲ ಸಿಂಪಡಿಸುತ್ತಾರೆ. ಇದು ಬಹುಶಃ ಕನ್ಯೆಯರಿಗೆ ಋತುಮತಿಯಾಗುವ/ವಿವಾಹಿತೆ ಯಾಗುವ ಬದುಕಿಗೆ ನಡೆಸುವ ಒಂದು ಪೂರ್ವ ಸಿದ್ಧತೆಯಾಗಿದೆ."
ಅಳುಗುಳಿಮಣೆ/ಚೆನ್ನೆಮಣೆ,"ಜನರು ತಮ್ಮ ಬಿಡುವಿನ ವೇಳೆಯಲ್ಲಿ ಬೇಸರ ಕಳೆಯಲು ಆಡುವಂತಹ ಆಟದ ಒಂದು ಪರಿಕರ. ಚಿಕ್ಕ ವಯಸ್ಸಿನವರಿಂದ ದೊಡ್ಡ ವಯಸ್ಸಿನವರೆಗೂ ಹೆಣ್ಣು ಗಂಡು ಎಂಬ ಭೇದ ಭಾವವಿಲ್ಲದೆ ಈ ಆಟವನ್ನು ಆಡುತ್ತಾರೆ. ಈ ಪರಿಕರವು ಸುಮಾರು ಅರ್ಧ ಅಡಿ ಅಗಲ ಎರಡು ಅಡಿ ಉದ್ದವಿರುತ್ತದೆ. ಈ ಮಣೆಯಲ್ಲಿ ಏಳು ಗುಳಿಗಳುಳ್ಳ ಎರಡು ಸಾಲುಗಳಿವೆ. ಈ ಆಟಕ್ಕೆ ಕವಡೆ, ಮಂಜೊಟ್ಟಿ ಬೀಜ, ಹುಣಸೆ ಬೀಜ, ಮುಂತಾದವುಗಳನ್ನು ಬಳಸುತ್ತಾರೆ. ಈ ಆಟಕ್ಕೆ ಸಂಬಂಧಿಸಿದಂತೆ ಕೆಲವು ಜನಪದ ಕತೆಗಳಿವೆ. ಜನಪದರು ತಮ್ಮ ಮನೆಯಲ್ಲಿ ಕುಳಿತು ಬಿಡುವಿದ್ದಾಗ (ಸಾಮಾನ್ಯವಾಗಿ ಮಳೆಗಾಲದಲ್ಲಿ) ಇದನ್ನು ಆಡುವ ಕ್ರಮ ಹೆಚ್ಚು ರೂಢಿಯಲ್ಲಿದೆ. ಸಾಗುವಾನಿ, ಹಲಸು ಮುಂತಾದ ಮರದಿಂದ ತಯಾರಿಸುತ್ತಾರೆ. ಆಟಿತಿಂಗಳಲ್ಲಷ್ಟೆ ಈ ಆಟವನ್ನು ಆಡಬೇಕೆಂಬ ವಿಧಿ ಮತ್ತು ಉಳಿದ ತಿಂಗಳುಗಳಲ್ಲಿ ಆಡಬಾರದೆಂಬ ನಿಷೇಧ ತುಳುನಾಡಿನಲ್ಲಿದೆ."
ಆಂಜನೇಯ ವಿಗ್ರಹ,"ರುದ್ರಾವತಾರಿ, ರಾಮಭಕ್ತ ಹನುಮಂತ ಜನಸಾಮಾನ್ಯರಿಗೆ ಶ್ರೇಷ್ಠ ಸ್ವಾಮಿನಿಷ್ಠ ದೇವತೆ ಶಕ್ತಿ ಹಾಗೂ ಸಾಹಸಗಳಿಗೆ ಹೆಸರಾದ ಆಂಜನೇಯನನ್ನು ದೇವಾಲಯಗಳಲ್ಲಿ ಗುಡಿಕಟ್ಟಿ ಪೂಜಿಸುತ್ತಾರೆ. ಆಂಜನೇಯ ವಿಗ್ರಹವನ್ನು ಮನೆಗಳಲ್ಲಿ ಪೂಜಿಸುವ ವಾಡಿಕೆಯೂ ಇದೆ. ಮನೆ ಹಾಗೂ ದೇವಾಲಯ ಎರಡು ಕಡೆಗಳಲ್ಲಿಯೂ ಪೂಜಿಸಬಹುದು. ಈ ವಿಗ್ರಹವನ್ನು ಬೆಣಚುಕಲ್ಲಿನಲ್ಲಿ ಕೆತ್ತಿದೆ. ಸುಮಾರು ಏಳು ಇಂಚು ಎತ್ತರ, ಒಂದು ಇಂಚು ದಪ್ಪವಿರುವ ಚಪ್ಪಟೆ ಕಲ್ಲಿನ ಮೇಲೆ ಕೆತ್ತನೆ ಮಾಡಲಾಗಿದೆ. ಹಿಂಭಾಗವು ನಯವಾಗಿ ಸಮತಟ್ಟಾಗಿದೆ. ಆಂಜನೇಯನು ನಿಂತ ಭಂಗಿಯಲ್ಲಿದ್ದು ಎಡಕ್ಕೆ ಮುಖ ಮಾಡಿದ್ದಾನೆ. ಎಡಗೈಯಲ್ಲಿ ಸಂಜೀವಿನಿ ಪರ್ವತ ಹಿಡಿದಿದ್ದರೆ ಬಲಗೈಯನ್ನು ಸೊಂಟದ ಮೇಲಿಟ್ಟು ವೀರ ಭಂಗಿಯಲ್ಲಿ ನಿಂತಿದ್ದಾನೆ. ಬಾಲವು ಬಲದಿಂದ ಎಡಮುಖವಾಗಿ ತಲೆಯವರಗೆ ಹರಿದಿದೆ. ಆಂಜನೇಯ ಮೂರ್ತಿಯ ಎಡಬದಿಯಲ್ಲಿ ಆಂಜನೇಯ ಯಂತ್ರದ ರೇಖಾ ಚಿತ್ರವಿದೆ."
ಆಟ/ಆಟಿಕೆ,"ಸಮುದಾಯದ ಪಾರಂಪರಿಕ ಜ್ಞಾನ ಕಿರಿಯ ತಲೆಮಾರಿಗೆ ಹಸ್ತಾಂತರವಾಗುವುದಕ್ಕೆ ಪೂರಕವಾದ ಪರಿಕರಗಳನ್ನು ಜನಪದರು ನಿರ್ಮಿಸಿಕೊಂಡಿದ್ದಾರೆ. ಅವರ ಜಾಣ್ಮೆಗೆ ಉದಾಹರಣೆಗಾಗಿ ಗ್ರಾಮೀಣ ಮಕ್ಕಳು ನಲಿಯುತ್ತ ಆಟವಾಡುತ್ತ ಕಲಿತುಕೊಳ್ಳುವುದಕ್ಕೆ ಸೂಕ್ತವಾದ, ಅವರ ಮನಕ್ಕೆ ಮುದವನ್ನೂ ಆಸಕ್ತಿಯನ್ನೂ ತರಬಲ್ಲ, ಅನೇಕ ಆಟಿಕೆಗಳಿವೆ. ಇವು ಕ್ಷಿಪ್ರಗತಿಯಲ್ಲಿ ಮಕ್ಕಳ ಬೌದ್ಧಿಕ ವಿಕಾಸವನ್ನು ಮಾಡುವಂಥವು ಈ ವಿಭಾಗದಲ್ಲಿ ಅಂತಹ ವಸ್ತುಗಳನ್ನು ಪರಿಚಯಿಸಲು ಆರಂಭಿಸಿದ್ದೇವೆ. ಬೀಸುವ ಕಲ್ಲು, ಮೊರ, ಬುಟ್ಟಿ, ಗೊಂಬೆಗಳು ಮುಂತಾದವುಗಳ ಮೂಲಕ ಅ ಮಕ್ಕಳಿಗೆ ಗ್ರಾಮೀಣ ಬದುಕಿನ ಸೊಗಡನ್ನುಣಿಸಿ ಮುಂದಿನ ದಿನಗಳಿಗೆ ಅವರನ್ನು ಅಣಿಮಾಡುವ ಕೆಲಸವನ್ನು ಜನಪದರು ಕೌಶಲಪೂರ್ಣವಾಗಿ ನಿರ್ವಹಿಸುತ್ತಾರೆ."
ಆನೆಗೊಂಬೆ,"ಮಕ್ಕಳ ಆಟಿಕೆಗಾಗಿ ಬಳಸುವ ವಸ್ತು. ಇದು ಸುಮಾರು ನಾಲ್ಕೂವರೆ ಇಂಚು ಎತ್ತರ, ನಾಲ್ಕು ಇಂಚು ಅಗಲವಿದೆ. ಇದನ್ನು ಮಕ್ಕಳು ಆಟಿಕೆಗಾಗಿ ಬಳಸುತ್ತಾರೆ. ಸೂಕ್ಷ್ಮಕೆತ್ತನೆಯಿಂದ ಬಳಪದ ಕಲ್ಲಿನಲ್ಲಿ ಇದನ್ನು ಶಿಲ್ಪಿ ಕೆತ್ತಿದ್ದಾನೆ."
ಆಲೆಮೆನ ಕತ್ತಿ(ಹನುಮಂತ),"ಆಲೆಮನೆಯಲ್ಲಿ ಬೆಲ್ಲದ ಪಾಕವು ತಳಹಿಡಿಯುವುದನ್ನು ಕೆರೆಯುವ/ಎಬ್ಬಿಸುವ ಸಣ್ಣ ಕತ್ತಿ. ಕಬ್ಬಿಣದ ತಗಡು ತುದಿಗೆ ಸಾಗುತ್ತ ಅಗಲ ಹೆಚ್ಚುತ್ತಾ ಹೋಗುವಂತೆ ಇದರ ರಚನೆ ಇದೆ. ಸುಮಾರು ಹತ್ತು ಇಂಚು ಉದ್ದ. ತುದಿಯಲ್ಲಿ ಎರಡೂವರೆ ಇಂಚು ಮತ್ತು ಬುಡದಲ್ಲಿ ಒಂದೂವರೆ ಇಂಚು ಅಗಲ. ತುದಿಯು ಚೂಪಾಗಿರದೆ ದೋಸೆ ಸಟ್ಟುಗದ ಆಕಾರದಲ್ಲಿದೆ. ಇದಕ್ಕೆ ಸರಳವಾದ ಒಂದು ಮರದ ಹಿಡಿಯಿದ್ದು ಇದು ಸುಮಾರು ಎಂಟು ಇಂಚು ಉದ್ದವಿದೆ. ಈ ಕತ್ತಿಯು ನಿಜವಾಗಿಯೂ ಬಹೂಪಯೋಗಿ. ಕಬ್ಬಿನ ಗದ್ದೆಗಳಲ್ಲಿ ಕಬ್ಬನ್ನು ಕಡಿಯಲು ಅದರ ಗರಿಗಳನ್ನು ಸವರಲು ಕೂಡ ಇದು ಉಪಯೋಗಕ್ಕೆ ಬರುತ್ತದೆ. ಆಲೆಮನೆ ಕತ್ತಿಯನ್ನು ಹೆಣ್ಮಕ್ಕಳು ಬಳಸಬಾರದೆಂಬ ನಿಷೇಧವಿದೆ. ಅದಕ್ಕಾಗಿಯೇ ಇದನ್ನು ತುಳಿಯಬಾರದು, ದಾಟಬಾರದು ಮುಂತಾದ ನಿಷೇಧಗಳೂ ಇವೆ. ಆಲೆಮೆನೆಯಲ್ಲಿ ಹೆಣ್ಮಕ್ಕಳಿಗೆ ಪ್ರವೇಶವೂ ನಿಷಿದ್ಧವಾಗಿದೆ. ಮಲೆನಾಡಿನಲ್ಲಿ ಈ ನಿಷೇಧವಿಲ್ಲ ಎಲ್ಲರಿಗೂ ಮುಕ್ತ ಅವಕಾಶವಿದೆ. ಇದಕ್ಕೆ ಹನುಮಂತ(ಬ್ರಹ್ಮಚಾರಿ) ಎಂಬ ಹೆಸರು ಇದೆ."
ಇತರ ಕಸುಬು,"ಗ್ರಾಮೀಣ ಬದುಕಿನಲ್ಲಿ ಬೇಸಾಯವನ್ನು ಅವಲಂಬಿಸಿಯೇ ಇತರ ಅನೇಕ ಕಸುಬುಗಳು ಸುತ್ತುತ್ತವೆ. ಕಮ್ಮಾರ, ಬಡಗಿ, ಕುಂಬಾರ, ನೇಕಾರ, ಚಮ್ಮಾರ ಮುಂತಾದ ವೃತ್ತಿಗಳವರು ಕೃಷಿಕರನ್ನು ಅವಲಂಬಿಸಿ/ಕೃಷಿಗೆ ಪೂರಕವಾಗಿ ಬದುಕುತ್ತಿದ್ದ ಕಾಲ ತುಂಬ ಪ್ರಾಚೀನವೇನೂ ಅಲ್ಲ. ಅಂತೆಯೇ ಬುಟ್ಟಿ-ಚಾಪೆಗಳನ್ನು ಹೆಣೆಯುವ, ಸುಣ್ಣ ಬಣ್ಣಗಳನ್ನು ಸಿದ್ಧಪಡಿಸುವ ಕೆಲಸಗಾರರು ಕೂಡ ಇದಕ್ಕೆ ಹೊರತಾಗಿಲ್ಲ. ಅಂಥವರು ಮತ್ತು ಪಶುಪಾಲನೆ, ಮೀನುಗಾರಿಕೆ, ಬೇಟೆ ಮುಂತಾದವುಗಳಲ್ಲಿ ತೊಡಗಿಕೊಂಡವರು ಬಳಸುವ ಕೆಲವು ಪರಿಕರಗಳನ್ನೂ ಪರಿಚಯಿಸಲು ಈ ವಿಭಾಗದಲ್ಲಿ ತೊಡಗಿದೆ. ಗ್ರಾಮೀಣ ಬದುಕಿನ ಲವಲವಿಕೆಗೆ ಬಿಸಿಲು ಮಳೆಗಳಂಥ ಪ್ರಾಕೃತಿಕ ಪರಿಸರದ ಜತೆಗೆ, ಮಾನವ ನಿರ್ಮಿತವಾದ ನಾನಾ ಕಸುಬುಗಳಿಗೆ ಸಂಬಂಧಿಸಿದ ವಸ್ತುಗಳ ಕೊಡುಗೆ ಕೂಡ ಗಣನೀಯವಾಗಿದೆ. ಕಸುಬುಗಳಿಗೆ ಒದಗುವ ಮುಖ್ಯ ಉದ್ದೇಶದೊಂದಿಗೆ ಈ ವಸ್ತುಗಳಲ್ಲಿ ಕೆಲವು ಜನಪದರ ಕರಕುಶಲತೆಗೂ ಸಾಕ್ಷಿಯಾಗಿದೆ."
ಇಲಿಬೋನು/ಬ,ಪೈರು ಧಾನ್ಯಗಳನ್ನು ತಿಂದು ಹಾಳುಮಾಡುವ ಇಲಿಗಳನ್ನು ಹಿಡಿಯಲು ಗ್ರಾಮೀಣರು ಆವಿಷ್ಕರಿಸಿಕೊಂಡಿರುವ ಒಂದು ಉಪಕರಣ. ಇದು ನೀಳವಾದ ಒಂದು ಪುಟ್ಟ ಬುಟ್ಟಿಯಾಕಾರದಲ್ಲಿದ್ದು ಅದರ ಮುಂಭಾಗದಲ್ಲಷ್ಟೆ ತೆರೆದುಕೊಂಡಿರುತ್ತದೆ. ಇದು ಫಕ್ಕನೆ ಮುಚ್ಚಿಕೊಳ್ಳುವಂತೆ ಸೂಕ್ತ ಪ್ರಮಾಣದ ಲೋಹದ ತಗಡೊಂದನ್ನು ನಿರ್ಮಿಸಿ ಅದರ ಒಂದು ಬದಿಯನ್ನು ಕಡ್ಡಿ/ಸ್ಟ್ರಿಂಗ್ ಒಂದರಿಂದ ಜೋಡಿಸಿ ಬೋನಿನ ಒಳಭಾಗದಲ್ಲಿ ಎಳೆದು ಕಟ್ಟಲಾಗುತ್ತದೆ. ಇಲಿಯು ಬೋನಿನೊಳಗೆ ಪ್ರವೇಶಿಸಿ ಒಂದಿಷ್ಟು ಅತ್ತಿತ್ತ ಸರಿದಾಡಿದಾಗ ಈ ಜೋಡಣೆಯು ತಪ್ಪಿಹೋಗಿ ಬೋನಿನ ಬಾಗಿಲು ಒಮ್ಮೆಲೆ ಮುಚ್ಚುಕೊಳ್ಳುತ್ತದೆ. ಇಲಿಯು ಒಳಗೆ ಬಂದಿಯಾಗುತ್ತದೆ
ಈರುಳ್ಳಿ ಬುಟ್ಟಿ,"ಈರುಳ್ಳಿ ಸಂಗ್ರಹಿಸಿಡಲು ಬಳಸುವ ಸಾಧನ. ಇದು ಸುಮಾರು ಒಂದು ಅಡಿ ಎತ್ತರವಿದ್ದು, ಒಂದು ಅಡಿ ವ್ಯಾಸವನ್ನು ಹೊಂದಿರುತ್ತದೆ. ಈ ಬುಟ್ಟಿಯನ್ನು ಕಬ್ಬಿಣದ ಸಣ್ಣ ಸಣ್ಣ ತಂತಿಗಳಿಂದ ಹೆಣೆಯಲಾಗಿರುತ್ತದೆ. ಬುಟ್ಟಿಯ ಮೇಲ್ಭಾಗದಲ್ಲಿ ಮುಚ್ಚಲು ಒಂದು ಮುಚ್ಚಳವಿದ್ದು, ಹಿಡಿದುಕೊಳ್ಳಲು ತಂತಿ ಹಿಡಿಕೆ ಇರುತ್ತದೆ. ಬುಟ್ಟಿಯಲ್ಲಿಟ್ಟಿರುವ ಈರುಳ್ಳಿಗೆ ಗಾಳಿ ಆಡುವುದರಿಂದ ಈರುಳ್ಳಿಯು ದೀರ್ಘಕಾಲ ಬಾಳಿಕೆ ಬರುತ್ತವೆ. ಪ್ಲಾಸ್ಟಿಕ್ ಬುಟ್ಟಿಗಳು ಬಂದ ಮೇಲೆ ಇದರ ಬಳಕೆ ಕಡಿಮೆಯಾಗುತ್ತಿದೆ."
ಈಳಿಗೆ ಮಣೆ/ ಮೆಟ್ಟುಕತ್ತಿ,"ತರಕಾರಿ, ಮಾಂಸ ಮುಂತಾದುವನ್ನು ಹೆಚ್ಚಲು ಇದು ಬಳಕೆಯಾಗುತ್ತದೆ. ಇದರಲ್ಲಿ ಲೋಹದ ಈಳಿಗೆ ಮತ್ತು ಅದನ್ನು ಜೋಡಿಸಲು ಮರದ ಹಲಗೆ/ಮಣೆಯು ಇರುತ್ತದೆ. ಕೆಲವೊಂದು ಈಳಿಗೆಯ ತುದಿಗೆ ತೆಂಗಿನ ಕಾಯಿ, ಸೌತೆ ಮುಂತಾದುವನ್ನು ತುರಿಯಲು ತುರಿ ಯನ್ನೂ ನಿರ್ಮಿಸಿರುತ್ತಾರೆ. ಈಳಿಗೆಯ ಗಾತ್ರಕ್ಕೆ ತಕ್ಕಹಾಗೆ ಮಣೆಯಗಾತ್ರವೂ ವ್ಯತ್ಯಾಸವಾಗುತ್ತದೆ. ಈಳಿಗೆ ಮಣೆಗಳಲ್ಲಿ ಈ ಗಾತ್ರ ಮತ್ತು ವಿನ್ಯಾಸಗಳು ಬೇರೆ ಬೇರೆಯಿರುತ್ತವೆ."
ಉಜ್ಜೋಡು,"ಬಡಿಗೇರರು ಮರದ ಕೆತ್ತನೆ ಕೆಲಸ ಮಾಡುವ ಸಂದರ್ಭದಲ್ಲಿ ಬಾಚಿ ಅಥವಾ ಇತರೆ ವಸ್ತುವಿನಿಂದ ಕೆತ್ತಿದ ಮರವನ್ನು/ಹಲಗೆಯನ್ನು ನುನುಪಾಗಿ ಕೆತ್ತಲು ಬಳಸುವ ಪರಿಕರ. ಇದರ ಗಾತ್ರ ಮತ್ತು ವಿನ್ಯಾಸಗಳಲ್ಲಿ ಹಲವು ವ್ಯತ್ಯಾಸಗಳಿರುತ್ತವೆ. ಸಾಮಾನ್ಯವಾಗಿ ಒಂದು ಅಡಿ ಉದ್ದ, ನಾಲ್ಕು ಇಂಚು ಅಗಲ, ಮೂರು ಇಂಚು ಎತ್ತರದ ಆಯಾತಾಕಾರದ ಮರದ ತುಂಡಿನಿಂದ ತಯಾರಿಸುತ್ತಾರೆ. ಈ ತುಂಡಿನ ನಡುವೆ ಸುಮಾರು ಎರಡು ಇಂಚು ಅಳತೆಯುಳ್ಳ (ಗಾತ್ರಕ್ಕೆ ಅನುಕೂಲವಾಗುವಂತೆ ಬೇರೆ ಬೇರೆ ಅಳತೆಯ) ಹರಿತವಾದ ತಗುಡನ್ನು ಜೋಡಿಸಲಾಗುತ್ತದೆ. ಈ ತಗುಡನ್ನು ಬಿಗಿಗೊಳಿಸಿಕೊಳ್ಳಲು ಬಿಗಿಗೂಟವಿದೆ. ಉಜ್ಜೋಡಿನ ಒಂದು ಭಾಗದ ಮೇಲ್ಭಾಗದಲ್ಲಿ ಎರಡೂ ಕೈಯಲ್ಲಿ ಹಿಡಿಯಲು ಅನುಕೂಲವಾಗುವ ಹಿಡಿಕೆ ಇದೆ. ಇದನ್ನು ಒಬ್ಬರು ಅಥವಾ ಇಬ್ಬರೂ ಬಳಸಬಹುದು. ನುಣುಪುಗೊಳಿಸುವ ಆಧುನಿಕ ಯಂತ್ರಗಳು ಬಂದ ನಂತರ ಇದರ ಬಳಕೆ ಅತ್ಯಂತ ಕಡಿಮೆಯಾಗಿದೆ."
ಉಡಿ,"ಬಿತ್ತನೆ ಮಾಡುವಾಗ ಸಣ್ಣ ಪ್ರಮಾಣದಲ್ಲಿ ಬೀಜಗಳನ್ನು ಇದರಲ್ಲಿ ತುಂಬಿಕೊಂಡು ರೈತರು ಸೊಂಟಕ್ಕೆ (ಹೊಟ್ಟೆಯಮೇಲೆ) ಕಟ್ಟಿಕೊಳ್ಳುತ್ತಾರೆ. ಇದರ ಮುಂಭಾಗದಲ್ಲಿ ಚೀಲದಂತಹ ರಚನೆ ಇದ್ದು, ಬಿತ್ತುವ ಬೀಜವನ್ನು ತುಂಬಿಕೊಳ್ಳುತ್ತಾರೆ. ಹಾಗೆ ತುಂಬಿಕೊಂಡಬಳಿಕ ಕೂರಿಗೆ/ರಂಟೆ/ಮಡಕೆ ಹೊಡೆಯುವವರ ಹಿಂದಿನಿಂದ ಉಡಿಯಿಂದ ಆಗಾಗ ಬೀಜಗಳನ್ನು ತೆಗೆದುಕೊಳ್ಳುತ್ತ ಬಿತ್ತನೆ ಮಾಡುತ್ತಾರೆ. ಕೆಲವು ಸಂದರ್ಭದಲ್ಲಿ ಕೂರಿಗೆ/ರಂಟೆ ಹೊಡೆಯುವವನು ಕೂಡಾ ಉಡಿಯನ್ನು ಬಳಸಿಕೊಂಡು ಬಿತ್ತನೆ ಮಾಡಬಹುದು. ಇದರಲ್ಲಿ ಸುಮಾರು ಮೂರು ನಾಲ್ಕು ಕೆ.ಜಿ ಬೀಜಗಳನ್ನು ತುಂಬಿಕೊಳ್ಳಬಹುದು."
ಉಣ್ಣೆಕತ್ರಿ / ತುಪ್ಪಟ ಕತ್ರಿ,ಕುರಿಗಳ ತುಪ್ಪಟನ್ನು ಕತ್ತರಿಸಲು ಬಳಸುವ ಸಲಕರಣೆ. ಇದು ಸುಮಾರು ಒಂದು ಅಡಿಯಿಂದ ಸುಮಾರು ಹದಿನೈದು ಇಂಚು ಉದ್ದವಿರುತ್ತದೆ. ಮಧ್ಯದಲ್ಲಿ ಸುಮಾರು ಎರಡು ಇಂಚು ಅಗಲವಿದ್ದು ತುದಿ ಭಾಗಕ್ಕೆ ಬಂದಂತೆ ಕಡಿಮೆ ಅಗಲವಿರುವ ತೆಳು ತಗಡುಗಳನ್ನು ಒಂದಕ್ಕೊಂದು ಅಭಿಮುಖವಾಗುವಂತೆ ವಿನ್ಯಾಸಗೊಳಿಸಿದ ಒಂದೇ ತಗಡಿನ ತುಂಡಿನಿಂದ ಇದನ್ನು ರಚಿಸುತ್ತಾರೆ. ಇದನ್ನು ಮಧ್ಯದಲ್ಲಿ ಸಂಪೂರ್ಣವಾಗಿ ಬಾಗಿಸಿದಾಗ ಕತ್ತರಿಯ ಆಕಾರವು ಲಭ್ಯವಾಗುತ್ತದೆ. ಬುಡಭಾಗವೇ ಹಿಡಿಯೂ ಆಗಿರುತ್ತದೆ ಹೊರತು ಪ್ರತ್ಯೇಕ ಹಿಡಿ ಇರುವುದಿಲ್ಲ.
ಊದುಬತ್ತಿ ಸ್ಟ್ಯಾಂಡ್,"ಮನೆಗಳ ಜಗಲಿಯಲ್ಲಿ, ದೇವರಕೋಣೆ, ದೇವರ ಫೋಟೋ ಅಥವಾ ದೇವರ ಮೂರ್ತಿಗಳ ಮುಂಭಾಗದಲ್ಲಿ ಊದು ಬತ್ತಿ ಉರಿಸಿಡಲು ಬಳಸುವ ಸಾಧನ. ಇದು ಸುಮಾರು ಏಳು ಇಂಚು ಎತ್ತರವಿದ್ದು, ತಳಭಾಗದಲ್ಲಿ ಆಯಾತಾಕಾರದ ಪೀಠವಿದೆ. ಈ ಪೀಠಕ್ಕೆ ನಾಲ್ಕು ಕಾಲುಗಳಿದ್ದು, ಪೀಠದ ಮೇಲ್ಭಾಗದಲ್ಲಿ ಹೂವಿನ ಚಿತ್ತಾರದ ಹಿತ್ತಾಳೆಯ ಕೊಕ್ಕೆಗಳಿವೆ. ಈ ಕೊಕ್ಕೆಗಳ ಮೇಲ್ಭಾಗದಲ್ಲಿರುವ ರಂಧ್ರಗಳಿಗೆ ಊದುಬತ್ತಿಯನ್ನು ಸಿಕ್ಕಿಸುತ್ತಾರೆ. ಕೆಲವರು ದಿನನಿತ್ಯ ಬಳಸಿದರೆ ಇನ್ನು ಕೆಲವರು ಹಬ್ಬ, ಜಾತ್ರೆ, ಉತ್ಸವ, ಮುಂತಾದ ವಿಶೇಷ ಪೂಜಾಕಾರ್ಯಗಳಲ್ಲಿ ಬಳಕೆ ಮಾಡುತ್ತಾರೆ."
ಊರುಗೋಲು,"ವಯಸ್ಸಾದವರು ಸ್ವತಂತ್ರವಾಗಿ ನಡೆಯಲು ಸಾಧ್ಯವಾಗದೇ ಹೋದಾಗ ಸಹಾಯಕ್ಕಾಗಿ ಬಳಸುವ ಮರದ ದೊಣ್ಣೆ. ಇದು ಸುಮಾರು ಮೂರರಿಂದ ಐದು ಅಡಿಗಳಷ್ಟು ಎತ್ತರವಿದೆ. ಎರಡು ಇಂಚಿನಿಂದ ಮೂರು ಇಂಚಿನಷ್ಟು ಸುತ್ತಳತೆ ಇದೆ. ಊರುಗೋಲುಗಳನ್ನು ಬೆತ್ತ, ಬಿದಿರು, ಜೋಣಿಗಿಡದಂಥ ಗಿಡಗಳ ಕೋಲುಗಳಿಂದ ಮಾಡಲಾಗುತ್ತದೆ. ಕೋಲಿನ ತುದಿಗೆ ಕಬ್ಬಿಣದ ಬಳೆಯನ್ನು ಜೋಡಿಸಿರುತ್ತಾರೆ. ಶ್ರೀಮಂತರು ಕಂಚಿನ ಬಳೆಗಳನ್ನು ಹಾಕಿರುವುದೂ ಉಂಟು. ಹಿಡಿಯ ಮೇಲ್ಭಾಗದಲ್ಲಿ ಬಾಗಿದ ಹಿಡಿಕೆ ನಾಗರ ಹೆಡೆಯಾಕಾರದಲ್ಲಿಯೂ ಇರುತ್ತದೆ."
